horizon_steps,model,mae,rmse,wmape
12,timesfm,1.6269112606241833,2.1192552590474003,0.3529707420966588
12,seasonal_day,2.5700522096303757,3.561464782063687,0.2576160569442436
12,naive_last,4.226828071948451,4.624191755529033,0.4773328865071616
72,timesfm,2.4557728376821615,4.557883301288231,0.2698122583387885
72,naive_last,4.599678815568849,6.613870306000139,0.4513631836003289
72,seasonal_day,4.5198538837139495,7.976397273733037,0.4565261783427559
288,timesfm,3.867385552613996,7.001042407585864,0.3123135156929493
288,naive_last,6.3325944257432845,9.163775101318622,0.5309408431769463
288,seasonal_day,5.70989136537537,9.805151608766893,0.42838368949014693
