horizon_hours,model,mae,rmse,wmape
1,timesfm,6.568839263916016,6.568839237811654,0.24012319199973717
1,seasonal168,9.6,9.6,0.32977454699575903
1,seasonal24,10.6,10.6,0.3624632775783539
1,naive_last,13.2,13.2,0.4605789318680763
24,timesfm,4.391800212860107,5.6508494840659775,0.11446799188852311
24,seasonal24,6.625,8.121684458191229,0.1727202296257019
24,seasonal168,6.4500000953674315,8.1559158091279,0.1681008517742157
24,naive_last,7.333333301544189,8.557476729281579,0.19029020965099336
168,timesfm,4.676981258392334,5.888552737592589,0.12303216606378556
168,seasonal24,6.78095235824585,8.520212691182584,0.17838148772716522
168,seasonal168,6.77619047164917,8.575364306315427,0.17812330424785613
168,naive_last,7.7392857551574705,8.929581443099504,0.20306582152843475
