date,patients_p50,patients_q10,patients_q90,is_holiday,doctors_needed,emergency_nurses_needed,beds_to_allocate
2024-04-28,44693.02,43631.527,45565.277,False,1302,3798,47844
2024-04-29,45140.35,43895.707,46120.38,False,1318,3844,48427
2024-04-30,46670.273,45307.652,47730.598,False,1364,3978,50118
2024-05-01,46997.793,45562.227,48103.64,False,1375,4009,50509
2024-05-02,47304.652,45829.715,48438.85,False,1384,4037,50861
2024-05-03,47050.777,45509.324,48178.043,False,1377,4015,50587
2024-05-04,45901.17,44344.555,47036.656,False,1344,3920,49389
2024-05-05,45029.83,43488.01,46187.84,False,1320,3849,48498
2024-05-06,45378.723,43823.77,46513.574,False,1329,3877,48840
2024-05-07,46733.12,45170.125,47870.11,False,1368,3990,50264
2024-05-08,47745.47,46177.305,48868.95,False,1397,4073,51313
2024-05-09,47971.887,46419.566,49104.066,False,1403,4093,51560
2024-05-10,47666.91,46099.22,48740.96,False,1393,4062,51179
2024-05-11,46456.76,44905.11,47558.62,False,1359,3964,49937
