horizon_min,model,mae,rmse,wmape
1,timesfm,0.245941162109375,0.24594116331734037,0.004294422687962651
1,naive_last,0.2667570114135742,0.2667570117584655,0.004585625865729526
1,seasonal60,7.329462051391602,7.329462091924177,0.12771676667034626
60,timesfm,1.621103584766388,2.3763936555314955,0.027229219675064087
60,naive_last,3.507592260837555,4.4059780089265015,0.058436594903469086
60,seasonal60,4.423098802566528,4.910121802266873,0.0755760595202446
360,seasonal60,5.6442259550094604,6.473236924994949,0.08955198898911476
360,timesfm,6.107775807380676,7.20709345593542,0.0981375714763999
360,naive_last,6.692506670951843,7.678761651946461,0.10613230429589748
