anchor_date,horizon_days,model,mae,rmse,wmape
2018-04-16,1,timesfm,0.10870361328125,0.10870361328125,0.0004086602129973471
2018-04-16,1,naive_last,14.0,14.0,0.05263157933950424
2018-04-16,1,seasonal7,65.0,65.0,0.24436090886592865
2018-04-16,1,seasonal30,51.0,51.0,0.1917293220758438
2018-04-16,7,timesfm,19.278263092041016,23.636511848892013,0.08046979457139969
2018-04-16,7,naive_last,45.57143020629883,64.42603786877437,0.1902206391096115
2018-04-16,7,seasonal7,21.714284896850586,30.199337741083,0.09063804149627686
2018-04-16,7,seasonal30,58.0,71.22599993265275,0.24209898710250854
2018-04-16,14,timesfm,19.350933074951172,23.101472670606547,0.0818963274359703
2018-04-16,14,naive_last,46.85714340209961,63.84915313039594,0.19830714166164398
2018-04-16,14,seasonal7,27.714284896850586,35.67512065008943,0.1172914132475853
2018-04-16,14,seasonal30,45.21428680419922,58.93519472890859,0.19135428965091705
2018-04-16,30,timesfm,52.01666259765625,66.74433057618077,0.19758164882659912
2018-04-16,30,naive_last,50.266666412353516,62.044069440474125,0.190934419631958
2018-04-16,30,seasonal7,46.56666564941406,58.91490942651423,0.17688022553920746
2018-04-16,30,seasonal30,62.66666793823242,84.06227927480316,0.2380349487066269
2018-05-14,1,timesfm,29.0374755859375,29.037475575417513,0.08249282836914062
2018-05-14,1,naive_last,12.0,12.0,0.034090910106897354
2018-05-14,1,seasonal7,21.0,21.0,0.059659089893102646
2018-05-14,1,seasonal30,129.0,129.0,0.36647728085517883
2018-05-14,7,timesfm,60.69040298461914,65.61505505003215,0.2530272901058197
2018-05-14,7,naive_last,124.14286041259766,147.29513712908175,0.5175699591636658
2018-05-14,7,seasonal7,52.57143020629883,70.7470357428935,0.21917808055877686
2018-05-14,7,seasonal30,75.42857360839844,87.39238359798581,0.31447291374206543
2018-05-14,14,timesfm,101.65106964111328,112.5818018570275,0.5537412166595459
2018-05-14,14,naive_last,180.42857360839844,198.5270762389856,0.9828794002532959
2018-05-14,14,seasonal7,104.0,124.50817697168527,0.5665369629859924
2018-05-14,14,seasonal30,95.85713958740234,113.0063215529888,0.5221790075302124
2018-05-14,30,timesfm,96.16011047363281,105.04361073501805,0.5019667744636536
2018-05-14,30,naive_last,172.43333435058594,184.4983273975675,0.900121808052063
2018-05-14,30,seasonal7,97.06666564941406,115.17899198774272,0.5066991448402405
2018-05-14,30,seasonal30,92.16666412353516,106.18081846989831,0.48112058639526367
2018-06-11,1,timesfm,27.72406005859375,27.724060582033253,0.11269943416118622
2018-06-11,1,naive_last,48.0,48.0,0.19512194395065308
2018-06-11,1,seasonal7,46.0,46.0,0.1869918704032898
2018-06-11,1,seasonal30,39.0,39.0,0.15853658318519592
2018-06-11,7,timesfm,19.06233024597168,23.210489151257132,0.09102067351341248
2018-06-11,7,naive_last,84.57142639160156,93.3702308018996,0.4038199186325073
2018-06-11,7,seasonal7,28.14285659790039,32.599298050700995,0.13437926769256592
2018-06-11,7,seasonal30,101.28571319580078,109.45383765827948,0.48362892866134644
2018-06-11,14,timesfm,18.435087203979492,21.40793290031649,0.08844798058271408
2018-06-11,14,naive_last,85.57142639160156,92.59435116240893,0.4105551838874817
2018-06-11,14,seasonal7,24.85714340209961,29.60212332868043,0.11925976723432541
2018-06-11,14,seasonal30,81.85713958740234,93.68411747562924,0.39273473620414734
2018-06-11,30,timesfm,27.848634719848633,33.28393841841174,0.1470102071762085
2018-06-11,30,naive_last,104.56666564941406,114.76367106063007,0.551997184753418
2018-06-11,30,seasonal7,41.33333206176758,52.74150877673936,0.2181946188211441
2018-06-11,30,seasonal30,73.26667022705078,87.53323308624702,0.38676756620407104
2018-07-09,1,timesfm,40.293243408203125,40.29324273567778,0.30069583654403687
2018-07-09,1,naive_last,14.0,14.0,0.10447761416435242
2018-07-09,1,seasonal7,82.0,82.0,0.611940324306488
2018-07-09,1,seasonal30,59.0,59.0,0.44029849767684937
2018-07-09,7,timesfm,53.95244216918945,59.69733026052652,0.34395909309387207
2018-07-09,7,naive_last,25.714284896850586,39.70966101258452,0.16393442451953888
2018-07-09,7,seasonal7,73.28571319580078,79.43820687136323,0.46721312403678894
2018-07-09,7,seasonal30,88.14286041259766,97.23829560832759,0.561930775642395
2018-07-09,14,timesfm,87.50565338134766,97.63338732376594,0.43166986107826233
2018-07-09,14,naive_last,63.14285659790039,82.10098226612456,0.31148695945739746
2018-07-09,14,seasonal7,78.85713958740234,88.62037739178558,0.3890063464641571
2018-07-09,14,seasonal30,74.35713958740234,86.22354666794912,0.36680760979652405
2018-07-09,30,timesfm,94.31338500976562,100.96474090616981,0.3879612684249878
2018-07-09,30,naive_last,99.03333282470703,118.17458863240228,0.4073769450187683
2018-07-09,30,seasonal7,92.96666717529297,106.38154540673396,0.38242149353027344
2018-07-09,30,seasonal30,91.26667022705078,113.6691118650423,0.3754284977912903
