horizon_days,model,mae,rmse,wmape
1,naive_last,22.0,22.0,0.09658051189035177
1,timesfm,24.290870666503906,24.290870626602448,0.12407418982184026
1,seasonal7,53.5,53.5,0.2757380483672023
1,seasonal30,69.5,69.5,0.289260420948267
7,timesfm,38.24585962295532,43.039846577676954,0.19211921282112598
7,seasonal7,43.92857122421265,53.24596960151018,0.22785212844610214
7,naive_last,70.00000047683716,86.20026670308505,0.31888623535633087
7,seasonal30,80.71428680419922,91.32762919931142,0.40053290128707886
14,timesfm,56.7356858253479,63.68114868792912,0.28893884643912315
14,seasonal7,58.857141971588135,69.60144958556018,0.29802362248301506
14,seasonal30,74.32142639160156,87.96229510636894,0.3682689107954502
14,naive_last,94.0,109.26789069947876,0.47580717131495476
30,timesfm,67.58469820022583,76.50915515894509,0.30862997472286224
30,seasonal7,69.48333263397217,83.30423889943256,0.32104887068271637
30,seasonal30,79.84166812896729,97.8613606739977,0.370337899774313
30,naive_last,106.57499980926514,119.8701641327685,0.5126075893640518
