date,timesfm_p50_orders,timesfm_q10_orders,timesfm_q90_orders,uncertainty_band,required_labor_hours_q90,fte_required_q90,picker_hours_required_q90,packing_stations_required_q90,projected_capacity_gap_q90,delay_risk_flag
2018-09-04,47.56221,0.0,105.662315,105.662315,4.7548046,1.0,8.0,1.0,1227.671,normal
2018-09-05,40.344467,0.0,107.34055,107.34055,4.830325,1.0,8.0,1.0,1225.9928,normal
2018-09-06,22.129044,0.0,98.661575,98.661575,4.439771,1.0,8.0,1.0,1234.6718,normal
2018-09-07,7.059799,0.0,91.14847,91.14847,4.101681,1.0,7.0,1.0,1242.1849,normal
2018-09-08,0.0,0.0,58.159195,58.159195,2.617164,1.0,5.0,1.0,1275.1742,normal
2018-09-09,0.0,0.0,82.16992,82.16992,3.6976466,1.0,6.0,1.0,1251.1635,normal
2018-09-10,55.10269,0.0,158.68762,158.68762,7.140943,1.0,12.0,1.0,1174.6458,normal
2018-09-11,68.73343,0.0,176.79065,176.79065,7.9555798,2.0,13.0,1.0,1156.5427,normal
2018-09-12,63.03859,0.0,173.21799,173.21799,7.79481,2.0,13.0,1.0,1160.1154,normal
2018-09-13,45.017715,0.0,160.41177,160.41177,7.21853,1.0,12.0,1.0,1172.9216,normal
2018-09-14,27.797379,0.0,146.50325,146.50325,6.5926466,1.0,11.0,1.0,1186.8301,normal
2018-09-15,0.0,0.0,106.2195,106.2195,4.7798777,1.0,8.0,1.0,1227.1139,normal
2018-09-16,6.949188,0.0,125.51545,125.51545,5.6481953,1.0,9.0,1.0,1207.8179,normal
2018-09-17,74.05139,0.0,197.5537,197.5537,8.889916,2.0,15.0,2.0,1135.7797,normal
2018-09-18,84.08656,0.0,210.52171,210.52171,9.473477,2.0,16.0,2.0,1122.8116,normal
2018-09-19,75.75226,0.0,200.6727,200.6727,9.030272,2.0,15.0,2.0,1132.6606,normal
2018-09-20,53.65509,0.0,181.43042,181.43042,8.16437,2.0,13.0,2.0,1151.903,normal
2018-09-21,37.560257,0.0,165.09467,165.09467,7.4292603,1.0,12.0,1.0,1168.2388,normal
2018-09-22,0.0,0.0,123.98144,123.98144,5.579165,1.0,9.0,1.0,1209.3519,normal
2018-09-23,12.275864,0.0,148.21577,148.21577,6.66971,1.0,11.0,1.0,1185.1176,normal
2018-09-24,78.131714,0.0,213.34431,213.34431,9.600494,2.0,16.0,2.0,1119.989,normal
2018-09-25,88.61853,0.0,225.15448,225.15448,10.131952,2.0,17.0,2.0,1108.179,normal
2018-09-26,76.94093,0.0,213.27036,213.27036,9.597166,2.0,16.0,2.0,1120.063,normal
2018-09-27,54.154694,0.0,190.85524,190.85524,8.588486,2.0,14.0,2.0,1142.4781,normal
2018-09-28,36.8591,0.0,172.50072,172.50072,7.7625327,2.0,13.0,1.0,1160.8326,normal
2018-09-29,0.0,0.0,135.55434,135.55434,6.0999455,1.0,10.0,1.0,1197.779,normal
2018-09-30,8.159592,0.0,147.78618,147.78618,6.650378,1.0,11.0,1.0,1185.5472,normal
2018-10-01,131.04942,0.0,275.65686,275.65686,12.404559,2.0,20.0,2.0,1057.6765,normal
2018-10-02,141.12431,0.0,288.43118,288.43118,12.9794035,2.0,21.0,2.0,1044.9022,normal
2018-10-03,130.36038,0.0,275.8978,275.8978,12.415401,2.0,20.0,2.0,1057.4355,normal
