anchor_ts,horizon_hours,model,mae,rmse,wmape
1995-08-03 23:00:00,1,timesfm,191.6959228515625,191.6959262086704,0.15648646652698517
1995-08-03 23:00:00,1,naive_last,487.0,487.0,0.397551029920578
1995-08-03 23:00:00,1,seasonal24,1225.0,1225.0,1.0
1995-08-03 23:00:00,1,seasonal168,313.0,313.0,0.25551021099090576
1995-08-03 23:00:00,24,timesfm,580.3329467773438,728.6502504631422,0.2338598370552063
1995-08-03 23:00:00,24,naive_last,1027.4583740234375,1379.6783592562435,0.41404032707214355
1995-08-03 23:00:00,24,seasonal24,1166.625,1508.7162589433442,0.4701210558414459
1995-08-03 23:00:00,24,seasonal168,1382.8333740234375,1935.4372245050988,0.5572476983070374
1995-08-03 23:00:00,168,timesfm,825.4449462890625,932.6138000265705,0.3819241523742676
1995-08-03 23:00:00,168,naive_last,892.8869018554688,1188.4688679136698,0.4131287932395935
1995-08-03 23:00:00,168,seasonal24,1164.267822265625,1478.5967164849244,0.5386937260627747
1995-08-03 23:00:00,168,seasonal168,1662.65478515625,2023.8481909471373,0.7692917585372925
1995-08-17 23:00:00,1,timesfm,355.7344970703125,355.7344954456905,0.28054770827293396
1995-08-17 23:00:00,1,naive_last,562.0,562.0,0.4432176649570465
1995-08-17 23:00:00,1,seasonal24,243.0,243.0,0.19164037704467773
1995-08-17 23:00:00,1,seasonal168,236.0,236.0,0.18611986935138702
1995-08-17 23:00:00,24,timesfm,225.63377380371094,280.0783930438048,0.09627725183963776
1995-08-17 23:00:00,24,naive_last,962.9166870117188,1242.9423256933526,0.4108736515045166
1995-08-17 23:00:00,24,seasonal24,256.9166564941406,309.01132665324747,0.10962557047605515
1995-08-17 23:00:00,24,seasonal168,306.5833435058594,367.9395330757487,0.1308181881904602
1995-08-17 23:00:00,168,timesfm,273.902099609375,367.12878785924704,0.13328029215335846
1995-08-17 23:00:00,168,naive_last,844.7142944335938,1112.1719741119177,0.41103652119636536
1995-08-17 23:00:00,168,seasonal24,525.8333129882812,845.7386194918616,0.255869597196579
1995-08-17 23:00:00,168,seasonal168,301.3511962890625,397.9111474311822,0.146636962890625
1995-08-24 23:00:00,1,timesfm,37.740966796875,37.74096733305037,0.025043774396181107
1995-08-24 23:00:00,1,naive_last,10.0,10.0,0.006635699886828661
1995-08-24 23:00:00,1,seasonal24,95.0,95.0,0.0630391538143158
1995-08-24 23:00:00,1,seasonal168,239.0,239.0,0.15859323740005493
1995-08-24 23:00:00,24,timesfm,155.70155334472656,210.54433729917793,0.06519141793251038
1995-08-24 23:00:00,24,naive_last,1087.5416259765625,1392.1943560437242,0.4553479552268982
1995-08-24 23:00:00,24,seasonal24,360.9583435058594,484.6880923594059,0.15113134682178497
1995-08-24 23:00:00,24,seasonal168,201.0416717529297,236.28699280483045,0.08417508751153946
1995-08-24 23:00:00,168,timesfm,542.5487670898438,803.8926778494751,0.21910518407821655
1995-08-24 23:00:00,168,naive_last,1232.9404296875,1723.3346308828127,0.4979158639907837
1995-08-24 23:00:00,168,seasonal24,856.9642944335938,1181.4109149656608,0.34608006477355957
1995-08-24 23:00:00,168,seasonal168,555.5238037109375,855.6344502765185,0.22434507310390472
